TimeStamp,Partida V115,Estado Bombeo Semi V115,SP Semi V115,Estado Bombeo Receta V115,SP Receta V115,Consumo V115,Partida D122,Estado Bombeo Semi D122,SP Semi D122,Estado Bombeo Receta D122,SP Receta D122,Consumo D122,Partida V131,Estado Bombeo Semi V131,SP Semi V131,Estado Bombeo Receta V131,SP Receta V131,Consumo V131,Partida V141,Estado Bombeo Semi V141,SP Semi V141,Estado Bombeo Receta V141,SP Receta V141,Consumo V141,Partida V241,Estado Bombeo Semi V241,SP Semi V241,Estado Bombeo Receta V241,SP Receta V241,Consumo V241
2024-10-20 00:00:00,12345678,-1,5,-1,,510.383,12345678,-1,17.540562,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 01:00:00,12345678,-1,5,-1,,510.383,12345678,-1,17.463247,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 02:00:00,12345678,-1,5,-1,,510.383,12345678,-1,17.385933,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 03:00:00,12345678,-1,5,-1,,510.383,12345678,-1,17.308619,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 04:00:00,12345678,-1,5,-1,,510.383,12345678,-1,17.231304,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 05:00:00,12345678,-1,5,-1,,510.383,12345678,-1,17.15399,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 06:00:00,12345678,-1,5,-1,,510.383,12345678,-1,17.076675,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 07:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.999361,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 08:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.922047,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 09:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.844732,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 10:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.767418,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 11:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.690104,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 12:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.612789,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 13:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.535475,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 14:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.458162,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 15:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.380848,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 16:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.303534,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 17:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.226219,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 18:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.148905,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 19:00:00,12345678,-1,5,-1,,510.383,12345678,-1,16.07159,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 20:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.994276,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 21:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.916962,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 22:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.839647,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-20 23:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.762333,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,507.41309,,-1,,-1,,2825.3921
2024-10-21 00:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.685019,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 01:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.607705,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 02:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.530391,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 03:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.453076,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 04:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.375762,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 05:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.298448,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 06:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.221133,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 07:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.143819,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,508.9834,,-1,,-1,,2825.3921
2024-10-21 08:00:00,12345678,-1,5,-1,,510.383,12345678,-1,15.066504,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,506.43164,,-1,,-1,,2825.3921
2024-10-21 09:00:00,12345678,-1,5,-1,,510.383,12345678,-1,14.989191,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,506.43164,,-1,,-1,,2825.3921
2024-10-21 10:00:00,12345678,-1,5,-1,,510.383,12345678,-1,14.911877,-1,,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,506.43164,,-1,,-1,,2825.3921
2024-10-21 11:00:00,12345678,-1,5,-1,0,510.383,12345678,-1,14.834562,-1,0,320.65186,12345678,-1,30,-1,0,30.031921,,-1,,-1,,506.43164,,-1,,-1,,2825.3921
2024-10-21 12:00:00,12345678,-1,5,-1,0,510.383,12345678,-1,14.757248,-1,0,320.65186,12345678,-1,30,-1,0,30.031921,,-1,45,-1,195.63397,506.43164,,-1,,-1,,2825.3921
2024-10-21 13:00:00,12345678,-1,5,-1,0,510.383,12345678,-1,14.679934,-1,0,320.65186,12345678,-1,30,-1,0,30.031921,,-1,45,-1,1414.3752,506.43164,,-1,,-1,,2825.3921
